timestamp	val_bpb	val_loss	artifact_mb	steps	description
2026-03-26 14:07	1.39284417	2.35175904	0.00	1461	5min int8 baseline
2026-03-26 14:14	1.92973844	3.25828252	0.00	1470	5min int6
2026-03-26 14:22	2.36623956	3.99529638	0.00	1322	5min int6 QAT@0.15
2026-03-26 14:29	2.04364793	3.45061393	0.00	1443	5min int6 late-QAT@0.85
2026-03-26 14:36	1.39231748	2.35086974	0.00	1462	5min int8 for inference
2026-03-26 15:15	0.01667620	0.02815707	0.00	2893	5min MoR 4rec 50cap
2026-03-26 15:50	1.40099556	2.36552232	0.00	2326	5min MoR pure-recurrence 4x
2026-03-26 16:45	1.42528553	2.40653492	0.00	1482	5min MoR 4x width=768
2026-03-26 16:52	1.43643754	2.42536461	0.00	1776	5min MoR 6x recursions dim=512
2026-03-26 16:59	1.56413939	2.64098384	0.00	2328	5min MoR-4x + SWA + int6
